d_alt,d_downrange,d_crossrange,d_speed,d_fpa,d_heading,d_prop,k_dry,k_thrust,k_isp,k_cd,k_rho,wind_surface,wind_jet,wind_dir,wind_veer,wind_jet_alt,wind_fc_scale,wind_fc_dir,d_rate_x,d_rate_y,d_rate_z,lateral_error_m,fin_roll_deg,vertical_error_m,horizontal_speed_ms,vertical_speed_ms,tilt_deg,body_rate_deg_s,ok_lateral_error_m,ok_fin_roll_deg,ok_vertical_error_m,ok_horizontal_speed_ms,ok_vertical_speed_ms,ok_tilt_deg,ok_body_rate_deg_s,caught,prop_left_t,ignition_t,ignition_alt,ignition_speed,handover_t,handover_alt,flight_time,apogee_km,ground_contact,max_tilt_landing,max_throttle_landing,ignition_x,ignition_y,bb_yaw_deg,bb_resolves,runtime_s,case
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11000.0,1.0,0.0,0.0,0.0,0.0,0.09613370403968897,0.0,0.008449222002866463,0.000280776419481798,0.5037144320311137,0.060034635325221186,0.05811280632635476,True,True,True,True,True,True,True,True,67.38721231779247,261.85799141049034,1398.7092256048643,312.71566826779053,268.21799141048456,324.04400661249565,285.83799141046853,110.2272214430362,False,12.438414618006048,0.7759649272453373,212.82901368476183,-0.01113998144383039,0.0,6,27.4143807888031,0
152.35853987721566,-1039.9841062404955,125.0751993010762,9.405647163912139,-0.9755175943269182,-0.21702991781038633,-4265.2196378679,1.0043969898743141,1.0077779193542895,1.0004402046504082,1.0563620603484016,1.0124669157933879,2.7268646614173226,33.27508722095009,0.40097564589827117,0.5146418415094549,12158.321995610324,0.9815137636454739,-3.404647722019707,0.021306733861214226,-0.05270709872393037,-0.002800192917381466,0.10332823231391189,3.27007566741586e-05,0.009604101902752404,0.0021512096630761594,0.4626726804600997,0.0533922463318431,0.062307198726440534,True,True,True,True,True,True,True,True,63.97787157402504,261.55948300378344,1272.3363215545264,291.59000449668173,267.539483003778,324.4586063190456,285.27948300376187,108.7987224323186,False,12.950444776283355,0.8512913754613637,191.5250030802364,-1.6696447804742816,0.10416643039397336,6,28.177745819091797,1
611.2706693370151,-154.52948206880217,-71.38797036051787,-3.5213355048822956,0.26615459277667436,0.06090734406067972,-2032.075081923078,0.9974387863546423,0.9918622727175213,1.0041065294838367,1.0564486146360446,0.9969614011292033,5.708459114711205,13.614560943053046,4.208565449932414,-0.09872153498145053,13163.390980289187,0.8828804829637463,2.7157713415259748,0.06878876859933139,0.07180350050131379,0.35694126681174354,0.15166875999636875,0.00029446404278113576,0.010544272874497551,0.019978966094061027,0.5453049762597384,0.22998109117312385,0.025167142058193252,True,True,True,True,True,True,True,True,70.31632062529457,264.1512136770443,1342.7786286125647,301.8456839741226,270.37121367703867,324.1983388277278,287.85121367702277,111.1869341613164,False,11.755414413467749,0.7852577495658958,199.31719654641694,-1.965119930436214,-0.04190865067985625,6,27.65474247932434,2
-332.7548536443471,232.16132306671977,19.447634856788035,2.1868859672901295,0.4357143889740949,0.03726592479578038,3156.4411291927017,0.9927142209007217,0.996803287836427,0.9968641823047147,0.9680561075878329,0.9926628733006218,1.3743608824316813,40.1041777074283,2.959984760706576,0.10247263643505211,12824.994287080128,1.0162753065105006,2.9311116567963906,0.11315226051198247,0.011263178248148577,0.04818656644833069,0.18796641903752137,7.393896667355496e-06,0.011578372269568149,0.001244127757554186,0.4654045221050629,0.11225702832602417,0.09725024976418122,True,True,True,True,True,True,True,True,68.36070046356306,262.0749279391227,1474.634260497906,327.5807726765207,268.6349279391167,324.243381104927,286.3349279391006,110.86991701825546,False,14.558810936544276,0.8060777901787072,241.05299108554934,1.2331824571044938,-0.004845352541887473,6,27.87760877609253,3
355.6132898964275,793.3472351999252,-58.120845374739595,-4.623517926645672,0.4289879406285769,-0.03188405414693581,2485.80372026882,1.0007121286803529,1.0069048535406777,0.9971516490244231,1.0079269845538357,1.0166824105057957,4.876642337280846,48.84122307996208,1.049121797060959,-0.7497221223448832,9450.239303878208,0.880416035441096,2.434862403927909,-0.21261438722298698,-0.18888120233391342,-0.15324204766693522,0.19426193986485027,0.00018379745896668074,0.008783750673870827,0.007327952849536119,0.44919601827308364,0.15163171883851187,0.09494811689821557,True,True,True,True,True,True,True,True,68.90840005763907,264.50215701912674,1370.3722995169564,305.71456492511396,270.842157019121,324.6668082521473,288.6421570191048,111.56236987760626,False,14.725847707734195,0.8247892473532327,211.7879332842089,-4.597013444290161,0.026074500721718005,6,28.28822898864746,4
-234.70117010136192,12.494118727687429,80.12444315098482,4.465311760299441,0.3326925544863931,-0.016414247418237268,-7235.562362115436,0.993386501938228,0.9900275317239852,1.0026651615114897,0.9547260472319969,0.9899156652256162,11.630116528172687,46.725054237947674,4.504353903384995,-0.07954276642694802,10361.207809225794,0.9049977945089419,-1.6951653795028123,-0.07054971867402562,-0.013286368484399841,-0.2812224056596716,0.11154933689755431,0.0003497732554948792,0.011670912090480101,0.21791033720847178,0.5267160300089356,0.2149633933966545,0.03144940384738982,True,True,True,True,True,True,True,True,64.4631966946493,262.1065301903918,1481.0610681672229,329.752620423422,268.7065301903858,324.4957911737958,286.2265301903699,111.0101777642563,False,17.2788995004863,0.8832005684262046,232.765481013265,8.545946528326956,-0.04720613996408685,6,27.55062437057495,5
420.1540687286978,-1727.3204231923487,72.40394059097622,2.377356023322779,-0.2970749778483972,-0.24100964239807576,109.2607276172144,1.0080088944566046,0.9976064437252697,0.9931766833825209,1.0089637817478159,1.005866578239247,5.927889830934227,19.79167273996712,0.9080722600151934,-0.6229731615191729,11938.22286088856,0.9360248467250252,-4.632879707027625,0.012021584618978252,-0.08824878484396706,0.03877936855911732,0.276293989653305,0.00012204783114279477,0.011717968032073145,0.015511184581288213,0.5628537049557125,0.16896605720560692,0.06620553106277637,True,True,True,True,True,True,True,True,65.21147675942404,261.44696494646786,1360.1521332531006,306.00235243207277,267.6669649464622,323.912485462073,285.08696494644636,109.91431335169035,False,13.837704103389848,0.8068109454991618,209.0615616169351,3.487549702309815,0.08406268284932153,6,27.645294904708862,6
-194.90490157788398,-1376.6861475563087,105.85849113573404,-2.222226970987734,-0.7354031472513289,-0.1692631802012569,14569.312330036648,1.00207204716638,0.9901046187996814,0.9857863581284579,1.0133855731171917,0.9783215707917247,6.248068829658454,26.3346876183028,0.13579270276168368,0.5125381559873361,13480.803859198833,0.9841365162961312,-5.178268764129058,0.05225230790836588,0.13968776131573019,0.3327884819486311,0.1671203909709249,7.525810083501302e-05,0.01549440661402457,0.004370071320502478,0.5673557925028568,0.10558210518626675,0.04762624774231812,True,True,True,True,True,True,True,True,68.89834843741122,256.5427100171342,1416.5804694559097,313.5873319773771,262.9427100171284,323.7344655437525,280.3027100171126,107.35348851699035,False,12.944715007642658,0.8514733172232929,214.81481788055186,2.016566152494082,0.08026705048632261,6,27.552919149398804,7
-837.3414723521785,-486.3079090733309,-8.963758469720082,17.67929913579883,0.06513726073644292,0.16378991850384292,-3626.1303226787663,1.0106423486621758,0.9917861332077561,1.005589928024909,0.9548536410956487,1.0248419470099799,3.4910140576814235,30.90342775390287,1.6082760962052536,0.6849356381554448,9823.03908791009,0.954501651965922,-6.128028818836241,-0.08321593308985867,-0.19749062773617077,-0.1608527937053953,0.2701565837038727,0.0002590777501160981,0.015564680734996728,0.016570868270163006,0.6134870356649575,0.15577187395591965,0.059352221272226,True,True,True,True,True,True,True,True,64.6471947792038,261.94205978034586,1410.0176602605654,318.5348866179082,268.2420597803401,323.77463012491404,285.48205978032445,110.007009519766,False,15.207639162310032,0.8125523481251409,229.5839360778579,-11.699692168179288,-0.008526156718013076,6,26.975481748580933,8
-638.9687871598096,172.58791772211947,263.1818760684058,1.5999161357343825,-0.05931916305494128,0.047637689933757145,5531.443550299444,1.002143782192308,1.01535755991996,1.0012215629148127,0.938776548413975,0.9635157546867823,1.4730951889378323,49.86676032749437,0.9631137660360846,-0.5038041634325361,11996.913957604218,0.8892954317956512,-4.473635094779132,0.21766695695113747,0.036563750227309386,-0.06848787180562285,0.03968756229459008,1.5579907034325894e-05,0.006763518630791054,0.0032812376550803235,0.40100290028078617,0.03150604243679843,0.048075532061552476,True,True,True,True,True,True,True,True,65.45125961396128,258.88424750722226,1595.8137219903356,348.1910006199025,265.764247507216,324.51720639726915,283.74424750719965,109.72033069851243,False,12.40778618406938,0.7680535941869127,244.0695595766791,-0.9603257856636005,0.05193892207616107,6,28.161415576934814,9
